1003APD	964APD	750.0
1003APD	964APD	754.0
1003APD	964APD	755.0
1003APD	975APD	20194.0
1003APD	975APD	20255.0
1004APD	1004APD	32735.0
1004APD	1028APD	-34479.0
1004APD	1028APD	-67189.0
1004APD	107APD	100278.0
1004APD	107APD	67559.0
1004APD	108APD	-270.0
1004APD	108APD	-271.0
1004APD	108APD	-272.0
1004APD	108APD	-272.0
1004APD	108APD	-272.0
1004APD	108APD	-272.0
1004APD	108APD	-272.0
1004APD	108APD	-274.0
1004APD	108APD	-275.0
1004APD	108APD	-286.6505196964538
1004APD	108APD	-32981.0
1004APD	1094APD	120737.0
1004APD	1094APD	88018.0
1004APD	1095APD	114725.0
1004APD	1095APD	147444.0
1004APD	111APD	113646.0
1004APD	111APD	146365.0
1004APD	1120APD	-111679.0
1004APD	1120APD	-144389.0
1004APD	1129APD	105166.0
1004APD	1129APD	72447.0
1004APD	115APD	63960.0
1004APD	115APD	96679.0
1004APD	1178APD	-120818.0
1004APD	1178APD	-153528.0
1004APD	1257APD	125197.0
1004APD	1257APD	92478.0
1004APD	1294APD	21736.0
1004APD	1294APD	54455.0
1004APD	1325APD	103046.0
1004APD	1325APD	135765.0
1004APD	135APD	18607.0
1004APD	135APD	51326.0
1004APD	1372APD	66207.0
1004APD	1372APD	98926.0
1004APD	1407APD	115307.0
1004APD	1407APD	82588.0
1004APD	1419APD	-125578.0
1004APD	1419APD	-92868.0
1004APD	1426APD	41619.0
1004APD	1426APD	8833.0
1004APD	1426APD	8900.0
1004APD	1426APD	8900.0
1004APD	1431APD	113342.0
1004APD	1431APD	80623.0
1004APD	1497APD	-28109.0
1004APD	1497APD	-28161.0
1004APD	1497APD	-60871.0
1004APD	1497APD	4488.0
1004APD	1497APD	4533.0
1004APD	1497APD	4559.0
1004APD	1497APD	4600.0
1004APD	1497APD	4605.0
1004APD	1497APD	4622.0
1004APD	1521APD	107722.0
1004APD	1521APD	140441.0
1004APD	1540APD	110931.0
1004APD	1540APD	78212.0
1004APD	1548APD	106144.0
1004APD	1548APD	73425.0
1004APD	1606APD	105817.0
1004APD	1606APD	73098.0
1004APD	162APD	-1400.0
1004APD	162APD	-1409.0
1004APD	162APD	-1415.0
1004APD	162APD	-1417.0
1004APD	162APD	-1418.0
1004APD	162APD	-1420.0
1004APD	162APD	-1420.0
1004APD	162APD	-1420.399276412792
1004APD	162APD	-1421.0
1004APD	162APD	-1422.0
1004APD	162APD	-1422.0
1004APD	162APD	-1424.0
1004APD	162APD	-1424.0
1004APD	162APD	-1426.0
1004APD	162APD	-1426.0
1004APD	162APD	-1426.0
1004APD	162APD	-1426.0
1004APD	162APD	-1427.0
1004APD	162APD	-1428.0
1004APD	162APD	-1430.0
1004APD	162APD	-1431.0
1004APD	162APD	-34140.0
1004APD	162APD	31295.0
1004APD	164APD	-421.0
1004APD	164APD	-442.461536439949
1004APD	1663APD	118686.0
1004APD	1663APD	85967.0
1004APD	1664APD	119115.0
1004APD	1664APD	151834.0
1004APD	1690APD	-113792.0
1004APD	1690APD	-81082.0
1004APD	1697APD	-11252.0
1004APD	1697APD	-11360.0
1004APD	1697APD	-11392.0
1004APD	1697APD	-11429.0
1004APD	1697APD	-11430.0
1004APD	1697APD	-11435.0
1004APD	1697APD	-11435.0
1004APD	1697APD	-11439.0
1004APD	1697APD	-11453.0
1004APD	1697APD	-11456.0
1004APD	1697APD	-11474.0
1004APD	1697APD	-11551.0
1004APD	1697APD	-44166.0
1004APD	1697APD	21231.0
1004APD	1697APD	21244.0
1004APD	1726APD	101784.0
1004APD	1726APD	134503.0
1004APD	1801APD	111369.0
1004APD	1801APD	144088.0
1004APD	1810APD	-40382.0
1004APD	1810APD	-73092.0
1004APD	1832APD	50672.0
1004APD	1832APD	83391.0
1004APD	1901APD	129246.0
1004APD	1901APD	96527.0
1004APD	1961APD	-31293.0
1004APD	1961APD	-64003.0
1004APD	197APD	129612.0
1004APD	197APD	96893.0
1004APD	1999APD	-126393.0
1004APD	1999APD	-93683.0
1004APD	2010APD	125729.0
1004APD	2010APD	93010.0
1004APD	2028APD	33006.0
1004APD	2028APD	65725.0
1004APD	203APD	-116023.0
1004APD	203APD	-148733.0
1004APD	2078APD	-66625.0
1004APD	2078APD	-99335.0
1004APD	2101APD	-116772.0
1004APD	2101APD	-84062.0
1004APD	2111APD	108404.0
1004APD	2111APD	141123.0
1004APD	2129APD	52240.0
1004APD	2129APD	84959.0
1004APD	2162APD	113697.0
1004APD	2162APD	80978.0
1004APD	2165APD	-109480.0
1004APD	2165APD	-142190.0
1004APD	2176APD	-112881.0
1004APD	2176APD	-145591.0
1004APD	2185APD	-22662.0
1004APD	2185APD	-22662.0
1004APD	2185APD	-55372.0
1004APD	2185APD	10060.0
1004APD	2185APD	10070.0
1004APD	2185APD	9897.0
1004APD	2185APD	9968.0
1004APD	2201APD	57128.0
1004APD	2201APD	89847.0
1004APD	2213APD	-271.0
1004APD	2213APD	-272.0
1004APD	2213APD	-272.0
1004APD	2213APD	-274.0
1004APD	2213APD	-275.0
1004APD	2213APD	-275.6418996125223
1004APD	2213APD	32465.0
1004APD	2251APD	121804.0
1004APD	2251APD	89085.0
1004APD	22APD	12304.0
1004APD	22APD	45023.0
1004APD	2303APD	101063.0
1004APD	2303APD	133782.0
1004APD	2317APD	131869.0
1004APD	2317APD	99150.0
1004APD	2328APD	-23623.0
1004APD	2328APD	-23631.0
1004APD	2328APD	-56341.0
1004APD	2328APD	8934.0
1004APD	2328APD	9006.0
1004APD	2328APD	9116.0
1004APD	2328APD	9135.0
1004APD	234APD	25509.0
1004APD	234APD	58228.0
1004APD	2371APD	-110697.0
1004APD	2371APD	-77987.0
1004APD	2374APD	1849.0
1004APD	2374APD	1859.0
1004APD	2374APD	1864.0
1004APD	2374APD	1866.0
1004APD	2374APD	1869.0
1004APD	2374APD	1871.0
1004APD	2374APD	1872.0
1004APD	2374APD	1873.0
1004APD	2374APD	1881.9727874998316
1004APD	2374APD	34592.0
1004APD	2414APD	1994.722341759345
1004APD	2447APD	-128373.0
1004APD	2447APD	-95663.0
1004APD	2453APD	61550.0
1004APD	2453APD	94269.0
