1004APD_0	2447APD_0	96543.0
1004APD_0	252APD_0	118746.0
1004APD_0	252APD_0	86036.0
1004APD_0	26APD_0	36228.0
1004APD_0	26APD_0	68938.0
1004APD_0	370APD_0	27824.0
1004APD_0	402APD_0	130455.0
1004APD_0	402APD_0	97745.0
1004APD_0	419APD_0	12851.0
1004APD_0	419APD_0	13036.0
1004APD_0	419APD_0	13192.0
1004APD_0	419APD_0	13219.0
1004APD_0	419APD_0	13232.0
1004APD_0	419APD_0	13242.0
1004APD_0	419APD_0	13328.0
1004APD_0	419APD_0	13346.0
1004APD_0	419APD_0	46038.0
1004APD_0	45APD_0	128219.0
1004APD_0	45APD_0	95509.0
1004APD_0	47APD_0	3434.0
1004APD_0	47APD_0	3546.0
1004APD_0	47APD_0	3563.0
1004APD_0	47APD_0	3570.0
1004APD_0	47APD_0	3579.0
1004APD_0	47APD_0	3585.0
1004APD_0	47APD_0	3585.0
1004APD_0	47APD_0	3597.0
1004APD_0	47APD_0	3597.0
1004APD_0	47APD_0	3597.0
1004APD_0	47APD_0	3606.0
1004APD_0	47APD_0	3623.0
1004APD_0	47APD_0	3625.0
1004APD_0	47APD_0	36273.0
1004APD_0	499APD_0	44404.0
1004APD_0	499APD_0	77114.0
1004APD_0	513APD_0	118113.0
1004APD_0	513APD_0	150823.0
1004APD_0	517APD_0	102077.0
1004APD_0	517APD_0	134787.0
1004APD_0	52APD_0	37679.0
1004APD_0	52APD_0	4779.0
1004APD_0	52APD_0	4882.0
1004APD_0	52APD_0	4940.0
1004APD_0	52APD_0	4952.0
1004APD_0	52APD_0	4959.0
1004APD_0	52APD_0	4964.0
1004APD_0	52APD_0	4969.0
1004APD_0	52APD_0	4970.0
1004APD_0	52APD_0	4983.0
1004APD_0	52APD_0	4986.0
1004APD_0	52APD_0	5003.0
1004APD_0	52APD_0	5038.0
1004APD_0	557APD_0	123578.0
1004APD_0	557APD_0	90868.0
1004APD_0	558APD_0	13672.0
1004APD_0	558APD_0	13847.0
1004APD_0	558APD_0	14008.0
1004APD_0	558APD_0	14036.0
1004APD_0	558APD_0	14058.0
1004APD_0	558APD_0	14065.0
1004APD_0	558APD_0	14151.0
1004APD_0	558APD_0	14168.0
1004APD_0	558APD_0	46861.0
1004APD_0	607APD_0	29705.0
1004APD_0	607APD_0	62415.0
1004APD_0	647APD_0	106283.0
1004APD_0	647APD_0	73573.0
1004APD_0	66APD_0	109701.0
1004APD_0	66APD_0	142411.0
1004APD_0	710APD_0	132406.0
1004APD_0	710APD_0	99696.0
1004APD_0	796APD_0	100632.0
1004APD_0	796APD_0	133342.0
1004APD_0	804APD_0	131846.0
1004APD_0	804APD_0	99136.0
1004APD_0	815APD_0	105669.0
1004APD_0	815APD_0	72959.0
1004APD_0	901APD_0	42086.0
1004APD_0	901APD_0	74796.0
1004APD_0	907APD_0	31430.0
1004APD_0	907APD_0	64140.0
1004APD_0	911APD_0	34958.0
1004APD_0	911APD_0	67668.0
1004APD_0	95APD_0	2074.744491261684
1004APD_0	967APD_0	101308.0
1004APD_0	967APD_0	68598.0
1006APD_0	1508APD_0	16150.0
1006APD_0	2212APD_0	8796.0
1006APD_0	2212APD_0	8852.0
1006APD_0	2212APD_0	8859.0
1006APD_0	2212APD_0	8898.0
1006APD_0	2212APD_0	8929.0
1006APD_0	2212APD_0	8953.0
1006APD_0	240APD_0	16438.0
1006APD_0	240APD_0	16438.0
1006APD_0	240APD_0	16509.0
1006APD_0	240APD_0	16523.0
1006APD_0	240APD_0	16525.0
1006APD_0	549APD_0	3164.0
1006APD_0	549APD_0	3168.7040434192722
1006APD_0	549APD_0	3184.0
1006APD_0	549APD_0	3196.0
1006APD_0	549APD_0	3198.0
1006APD_0	549APD_0	3199.0
1006APD_0	549APD_0	3204.0
1006APD_0	549APD_0	3218.0
1006APD_0	549APD_0	3226.0
1006APD_0	777APD_0	2569.0
1006APD_0	777APD_0	2578.094945278686
1006APD_0	777APD_0	2589.0
1006APD_0	777APD_0	2596.0
1007APD_0	1085APD_0	1447.0
1007APD_0	1085APD_0	1449.0
1007APD_0	1085APD_0	1455.0
1007APD_0	1085APD_0	1455.1746112839496
1007APD_0	1085APD_0	1458.0
1007APD_0	1085APD_0	1460.0
1007APD_0	1085APD_0	1460.0
1007APD_0	1085APD_0	1461.0
1007APD_0	1189APD_0	32814.0
1007APD_0	1213APD_0	10877.0
1007APD_0	1213APD_0	11116.0
1007APD_0	1227APD_0	24382.0
1007APD_0	1242APD_0	40867.0
1007APD_0	1314APD_0	39133.0
1007APD_0	1323APD_0	16907.0
1007APD_0	1323APD_0	17329.0
1007APD_0	1578APD_0	40253.0
1007APD_0	1600APD_0	41364.0
1007APD_0	1633APD_0	14335.0
1007APD_0	1720APD_0	20785.0
1007APD_0	1720APD_0	21189.0
1007APD_0	1876APD_0	6535.0
1007APD_0	1876APD_0	6629.0
1007APD_0	1876APD_0	6700.0
1007APD_0	1876APD_0	6712.0
1007APD_0	1934APD_0	42906.0
1007APD_0	2103APD_0	3488.0
1007APD_0	2103APD_0	3535.0
1007APD_0	2103APD_0	3566.0
1007APD_0	2103APD_0	3570.0
1007APD_0	2140APD_0	2572.0
1007APD_0	2140APD_0	2587.0
1007APD_0	2140APD_0	2597.0
1007APD_0	2140APD_0	2605.0
1007APD_0	2140APD_0	2607.0
1007APD_0	2140APD_0	2613.0
1007APD_0	226APD_0	12034.0
1007APD_0	226APD_0	12397.0
1007APD_0	226APD_0	12546.0
1007APD_0	2435APD_0	42363.0
1007APD_0	359APD_0	29339.0
1007APD_0	492APD_0	14669.0
1007APD_0	492APD_0	15203.0
1007APD_0	61APD_0	43407.0
1007APD_0	624APD_0	4342.0
1007APD_0	624APD_0	4436.0
1007APD_0	624APD_0	4455.0
1007APD_0	624APD_0	4461.0
1007APD_0	70APD_0	46299.0
1007APD_0	846APD_0	15731.0
1007APD_0	846APD_0	16120.0
1007APD_0	846APD_0	16256.0
1007APD_0	856APD_0	37863.0
1008APD_0	200APD_0	236.581513876509
1009APD_0	109APD_0	33689.0
1009APD_0	1132APD_0	13733.0
1009APD_0	1164APD_0	14926.0
1009APD_0	1197APD_0	296.0
1009APD_0	1197APD_0	296.0
1009APD_0	1197APD_0	296.0
1009APD_0	1197APD_0	297.0
1009APD_0	1197APD_0	302.0
1009APD_0	1197APD_0	305.9088498919589
1009APD_0	1321APD_0	34569.0
1009APD_0	1351APD_0	21320.0
1009APD_0	1385APD_0	36671.0
1009APD_0	1393APD_0	39285.0
1009APD_0	1457APD_0	27042.0
1009APD_0	1458APD_0	27579.0
1009APD_0	1549APD_0	21861.0
1009APD_0	1696APD_0	7813.0
1009APD_0	1696APD_0	7819.0
1009APD_0	1696APD_0	7828.0
1009APD_0	1717APD_0	31119.0
1009APD_0	1746APD_0	25184.0
1009APD_0	1776APD_0	32115.0
1009APD_0	1886APD_0	30591.0
1009APD_0	1937APD_0	41297.0
1009APD_0	2145APD_0	32770.0
1009APD_0	2203APD_0	29582.0
1009APD_0	2359APD_0	39965.0
1009APD_0	2APD_0	34880.0
1009APD_0	356APD_0	37576.0
1009APD_0	518APD_0	20022.0
1009APD_0	590APD_0	2544.0
1009APD_0	590APD_0	2560.0
1009APD_0	590APD_0	2577.0
1009APD_0	590APD_0	2593.0
1009APD_0	590APD_0	2598.0
1009APD_0	675APD_0	4684.0
1009APD_0	675APD_0	4711.0
1009APD_0	675APD_0	4748.0
1009APD_0	675APD_0	4753.0
1009APD_0	778APD_0	8578.0
1009APD_0	778APD_0	8586.0
1009APD_0	778APD_0	8596.0
1009APD_0	882APD_0	11351.0
1009APD_0	946APD_0	23865.0
1009APD_0	988APD_0	20723.0
100APD_0	1001APD_0	68504.0
100APD_0	10APD_0	57102.0
100APD_0	1331APD_0	31443.0
100APD_0	1331APD_0	31458.0
