1004APD	1726APD	134502.0
1004APD	1801APD	111368.0
1004APD	1801APD	144087.0
1004APD	1810APD	-40381.0
1004APD	1810APD	-73091.0
1004APD	1832APD	50671.0
1004APD	1832APD	83390.0
1004APD	1901APD	129245.0
1004APD	1901APD	96526.0
1004APD	1961APD	-31292.0
1004APD	1961APD	-64002.0
1004APD	197APD	129611.0
1004APD	197APD	96892.0
1004APD	1999APD	-126392.0
1004APD	1999APD	-93682.0
1004APD	2010APD	125728.0
1004APD	2010APD	93009.0
1004APD	2028APD	33005.0
1004APD	2028APD	65724.0
1004APD	203APD	-116022.0
1004APD	203APD	-148732.0
1004APD	2078APD	-66624.0
1004APD	2078APD	-99334.0
1004APD	2101APD	-116771.0
1004APD	2101APD	-84061.0
1004APD	2111APD	108403.0
1004APD	2111APD	141122.0
1004APD	2129APD	52239.0
1004APD	2129APD	84958.0
1004APD	2162APD	113696.0
1004APD	2162APD	80977.0
1004APD	2165APD	-109479.0
1004APD	2165APD	-142189.0
1004APD	2176APD	-112880.0
1004APD	2176APD	-145590.0
1004APD	2185APD	-22661.0
1004APD	2185APD	-22661.0
1004APD	2185APD	-55371.0
1004APD	2185APD	10059.0
1004APD	2185APD	10069.0
1004APD	2185APD	9896.0
1004APD	2185APD	9967.0
1004APD	2201APD	57127.0
1004APD	2201APD	89846.0
1004APD	2213APD	-270.0
1004APD	2213APD	-271.0
1004APD	2213APD	-271.0
1004APD	2213APD	-273.0
1004APD	2213APD	-274.0
1004APD	2213APD	-274.6418996125223
1004APD	2213APD	32464.0
1004APD	2251APD	121803.0
1004APD	2251APD	89084.0
1004APD	22APD	12303.0
1004APD	22APD	45022.0
1004APD	2303APD	101062.0
1004APD	2303APD	133781.0
1004APD	2317APD	131868.0
1004APD	2317APD	99149.0
1004APD	2328APD	-23622.0
1004APD	2328APD	-23630.0
1004APD	2328APD	-56340.0
1004APD	2328APD	8933.0
1004APD	2328APD	9005.0
1004APD	2328APD	9115.0
1004APD	2328APD	9134.0
1004APD	234APD	25508.0
1004APD	234APD	58227.0
1004APD	2371APD	-110696.0
1004APD	2371APD	-77986.0
1004APD	2374APD	1848.0
1004APD	2374APD	1858.0
1004APD	2374APD	1863.0
1004APD	2374APD	1865.0
1004APD	2374APD	1868.0
1004APD	2374APD	1870.0
1004APD	2374APD	1871.0
1004APD	2374APD	1872.0
1004APD	2374APD	1880.9727874998316
1004APD	2374APD	34591.0
1004APD	2414APD	1993.722341759345
1004APD	2447APD	-128372.0
1004APD	2447APD	-95662.0
1004APD	2453APD	61549.0
1004APD	2453APD	94268.0
